nom	année	notes	adresse	horaires	sexe	year	page
Tourmeau (L.)	1879		bd St-Denis 16	Mar. Jeu. Sam. 2 à 5.		1896	100
Tournay	1885		Temple 172	3 à 4. Exc. Merc.		1896	100
Tourneux	1881		b. Rich.-Lenoir 38	1 à 3. Clin., Roquette 2, L. M. V. 10 1/2.		1896	100
Tournier (Cam.)	1892	Méd. de la Soc. de prévoy. des Alsaciens-Lorrains. Traitement dermatolytique	boul. Voltaire 104 bis	1 à 3.		1896	100
Tournier (E.)	1892	Anc. Int. des Hôp.	Chapelle 60	Lun. Mer. Ven. 2 à 4.		1896	100
Tourreil	1880		Bourdonnais 38	1 à 3.		1896	100
Toutain			Papillon 4	1 à 3. Exc. Sam. Dim.		1896	100
Toutu			boul. Hôpital 123	1 à 3.		1896	100
Touvenaint	1890	Laur. de l'Ac. de Méd., Secrét. de la Soc. Obstétr. et Gynécol. de Paris., Mal. des femmes et Acc.	Provence 18	Lun. Mer. Ven. 2 à 4. Clin. de gynéc., Cadet 18, Mar. Jeu. Sam. 1 à 3.		1896	100
Touzé ✶	1863	Ex-Int. des Hôp.	Demours 3	Lun. Mer. Ven. midi à 1.		1896	100
Touzelin	1859	Ex-Int. des Hôp.	Rivoli 96	1 à 3. Exc. D. et Fêtes.		1896	100
Tranchant	1873		Littré 16	1 à 3.		1896	100
Trapenard	1873	Laur. de la Fac.	bd du Temple 54 (2 pl. Républ.)	2 à 3. Exc. Sam.		1896	100
Triboulet	1893		Enghien 36	2 à 3.		1896	100
Tridon	1875		Abbaye 14	1 à 2.		1896	100
Triger	1895		av. de Wagram 58	Mar. J. S. 1 à 3.		1896	100
Trintignan (Paul)	1890		La Michodière 23	Mar. J. S. Clin., Rochechouart L. Mer. V. 2 à 4.		1896	100
Tripet	1881		Compiègne 2	1 à 3 ex. J. et D.		1896	100
Tripier	1856		Cambon 41	2 à 4. Ex. Jeu.		1896	100
Trognon	1893		av. de Wagram 75 bis	M. J. S. 2 à 3.		1896	100
Troisier ✶	1874	AGR. M. H.	La Boëtie 25	Lun. Mer. Ven. 1/2 à 3.		1896	100
Troncin ✶	1873		Aven. de la Grande-Armée 22	n'exerce pas.		1896	100
Trouëssart 𝙊 I	1870	Mal. des femmes et des enfants	av. Victor-Hugo 112	1 à 3. Exc. Ven.		1896	100
Trouillet (Aug.) 𝙊	1891	Mal. des femmes. Accouch.	Lagrange 12	M. J. S. 1 1/2 à 2 1/2.		1896	100
Trousseau (A.) ✶	1883	Méd. de la Clin. des Quinze-Vingts	bd Haussmann 57	4 à 6. Exc. S.		1896	100
Trumet de Fontarce ✶	1851		Général-Foy 16			1896	100
Tscherning	1887	Mal. des yeux	Mézières 15	Mar. Jeu. Sam. 1 à 3.		1896	100
Tsintsiropoulos	1891		Vaugirard 228	midi à 1 1/2.		1896	100
Tucker (M.)	1894	Gorge, nez, oreilles	Faub.-St-Honoré 3	Mar. J. S. 1 à 4. Clin., Oberkampf 20, L. M. V. 1 à 3.		1896	100
Tuffier ✶	1884	AGR. CH. H.	aven. Gabriel 42	Mar. Jeu. Sam. 1 à 3.		1896	100
Turbiau	1892		Amsterdam 27	L. M. V 1 à 3.		1896	100
Turner Robert			av. Victor-Hugo 152			1896	100
Vacher	1864		Fg-St-Martin 52			1896	100
Vaillant (L.) 𝙊	1861		r. Geoffroy-St-Hilaire 36			1896	100
Vaissette 𝙊 I	1875		boul. des Batignolles 29	2 à 4.		1896	100
Valadier	1875	Méthode Raspail	Bd. Sébastopol 98	Mar. Jeu. Sam. 2 à 5 et Temple 14, L. Mer. Ven. 3 à 5.		1896	100
Valcourt (de)	1864		boul. St-Germain 64	l'hiver, à Cannes (Alpes-Mar.).		1896	100
Valdès (Carlos) ✶	1857		Washington 41	L'été à Luchon.		1896	100
Valentin	1894		av. Montsouris 12	1 à 3.		1896	100
Valette	1889	Anc. Int. des Hôp.	Bassano 8	1 à 3.		1896	100
Vallantin	1875		Pergolèse 39	1 à 3.		1896	100
Vallienne	1881		boul. Montparnasse 61	1 à 3.		1896	100
Vallin O ✶	1858	M. A. M., Méd. insp. des Armées, Direct. du serv. de santé du Gouvernement militaire de Paris	av. Bosquet 17	L. et V. 12 à 1.		1896	100
Vallon	1882	Méd. en chef à l'asile d'aliénés de Villejuif	Lagrange 3	L. M. V. 2 à 3 1/2.		1896	100
Valmont	1879		Washington 37	4 à 6.		1896	100
Valtat	1872	Ex-Int. des Hôp.	St-Martin 243	1 à 3.		1896	100
Valude	1885	Méd. adjoint de la clin. ophtalm. des Quinze-Vingts	boul. St-Germain 198	4 à 6. Exc. Sam.		1896	100
Vandenabeele (Oct.)	1882	Traitement de la Tuberculose et du Diabète par les ferments animaux découverts par lui en 1892	Delaroche 1	2 à 4. Exc. J. D.		1896	100
Van Gelder 𝙊 I	1879		Nollet 64	m. à 2.		1896	100
Vaquez	1890	AGR.	boul. Haussmann 82	Lun. Mer. Ven. 1 à 2 1/2.		1896	100
Varigny (H. de)	1884		Sfax 7	n'ex. pas.		1896	100
Variot	1882	M. H.	Trévise 28	Lun. Mer. Ven. midi à 2.		1896	100
Varnier	1888	AGR., P. F. P. ACC. A.	Danton 10	L. M. V. 3 à 5.		1896	100
Vasticar (E.) ⊕	1887	Mal. cutanées et syphilitiques	Châteaudun 15	à 5 h. Exc. Mer., le matin sur rendez-vous. Clin. Hop. international. Lun. Mer. Ven. à 2 h.		1896	100
Vaucaire		Mal. des femmes et des enfants	La Boétie 11	3 à 6 Clin. gynécolog. boul. des Batignolles 80. Lun. Mer. Ven. 1 à 3. Dim. 9 à 10 matin		1896	100
Vaucher (Raoul)	1889		Gustave-Courbet 14	du 1er juin au 15 octobre, l'Etablissement thermal de Bagnoles-de-l'Orne.		1896	100
Vaudremer	1893		boul. Latour-Maubourg 18	A Cannes, l'hiver.		1896	100
Vautherin	1865	et Ph.	Laffitte 34			1896	100
Vauthier	1884	Laur. de la Fac. Chir. Orthop.	bd St-Germ. 69	Lun. Mer. Ven. 2 à 4 et J. 4 à 6.		1896	100
Vauthrin	1888		Tiquetonne 64	1 à 3.		1896	101
Vazeille	1885		Meslay 50	1 à 3.		1896	101
Vée	1869	✶	Vieille-du-Temple 24			1896	101
Veil	1882	✶ Ex-Int. des Hôp.	Lisbonne 17	Lun. Mer. Ven. 1 à 3.		1896	101
Veil (A.)	1883	Anc. Int. des Hôp.	av Bosquet 18	1 à 2, Exc. D.		1896	101
Veilleau	1881		Cherche-Midi 108 bis	1 à 3.		1896	101
Veillon	1894	Anc. Int. des Hôp., Préparat. au Laboratoire de la Clin. à l'hôp. des enfants malades	de la Planche 11	Lun. Mer. Ven. 2 à 3.		1896	101
Veluet-Neuville			St-Honoré 175	4 à 6.		1896	101
Véne (Louis)	1890		Faub.-du-Temple 76	midi à 2 exc. Mar. et Dim,		1896	101
Veniel	1873		Blanche 7	Sam. 1 à 2.		1896	101
Ventuejol	1893		bd des Filles-du-Calvaire 7	1 à 3.		1896	101
Verchère	1884	Ex-Chef de Clin. chir. à l'Hôp. de la Pitié, Chir. de St-Lazare	Bac 101	Mar. Jeu. Sam. 2 à 4.		1896	101
Vercoustre (A.)	1894	anc. Int. des hôp.	Bienfaisance 39	L. Mer. Ven. 1 à 3.		1896	101
Verdier	1841	O ✶ Anc. Méd. des Hôp.	Entrepôt 34	1 à 3.		1896	101
Verdier (A.)	1868	✶ Massothérapie	Nouvelle 1	1 à 3. Exc. L.		1896	101
Vergeade (Noël)	1881	O ✶ Médaille d'Honneur de l'Assist. Publ.	boul. St-Marcel 70	Lun. Mer. Sam. 1 à 2.		1896	101
Vergne	1875	✶ Méd. Insp. des enfants du dép. de la Seine, accouch., mal. des femmes. Elect. médicale.	Banque 22	Ma. J. S. 2 à 4.		1896	101
Vergues (E.)	1894		Crozatior 7	1 à 3.		1896	101
Verlhac	1894		Monge 27	1 à 3.		1896	101
Verliac	1865	Ex-Int. des Hôp.	Madame 1	1 à 3. Exc. Mer. Sam.		1896	101
Vermeil	1880	Ex-Int. des Hôp.	Prony 46	1 à 3. Exc. J. et Dim.		1896	101
Verrier-Pascal	1863	O ✶ Anc. prépar. à la Fac., Administr. des Eaux de Chabetout	Delaroche, 6 et 8, à l'Institut hydrothérapique			1896	101
Verwæst	1874	et Ph.	St-Jacques 169	Mar, Sam. 9 à 11.		1896	101
Vételet	1886		Rambuteau 40	1 à 3.		1896	101
Veyrières		été à la Bourboule	Caumartin 12			1896	101
Viala		O, Institut Pasteur	Dutot 25			1896	101
Vialet	1893	Anc. Int. des Hôp.	av. Matignon 3	4 à 6. Clin. ophtalmolog., Eperon 12, 1 à 3.		1896	101
Vialle	1872	Mal. des enf.; vaccin.	boul. Poissonnière 20	1 à 3. Clin. Bleue 12, à 10 1/2.		1896	101
Viard	1886		Chapelle 91 bis	1 à 3.		1896	101
Vibert	1877		boul. St-Germain 90	Mar. Jeu. Sam. 4 à 6.		1896	101
Vicente	1876		Legendre 142	1 à 3.		1896	101
Viciot			Ménilmontant 51-53	12 à 2 et 7 à 9 soir.		1896	101
Viel	1862		Affre 2	Mar. Jeu. Sam. 2 à 3.		1896	101
Vignalou	1890	Anc. Int. des Hop.	François Ier 64	2 à 4.		1896	101
Vignerot (Adr.)	1890	Anc. Int. des Hôp.	Legendre 77 bis	1 à 3.		1896	101
Vignes (L.)	1880	Mal. des yeux	Cambon 46	4 à 5, exc. Sam. Clin., Dauphine 18, midi à 3.		1896	101
Vigouroux (R.)	1858	✶ Chef du Service d'électrothérapie de la Salpêtrière	N.-D.-de-Lorette 22	3 à 6.		1896	101
Vigouroux (H.)	1878	O ✶ ✥	boul. Sébastopol 34	1 à 3, exc. Ven.		1896	101
Viguès	1850	✶ Ex-Int. des Hôp	Miromesnil 8			1896	101
Viguès (fils)	1892		Miromesnil 8			1896	101
Vildermann	1888		Oberkampf 11	1 à 3.		1896	101
Villain (A)	1877	Anc. Int. des Hôp. Mal. des femmes et des enf.	Ste-Cécile 16	1 à 3.		1896	101
Villaret	1862		Mail 14	1 à 3.		1896	101
Villejean	1886	AGR. à l'Hôtel-Dieu.				1896	101
Villemin	1888	Ex-Int. des Hôp.	N.-D.-des-Champs 58	Mar. S. 1 à 2.		1896	101
Villeprand (H.)	1893		Vital 5	Mar. J. S. 2 à 4.		1896	101
Villette	1851	✶ M. H.	St-Marc 22	3 à 4.		1896	101
Vimont	1847	Ex-Int. des Hôp.	boul. St-Germain 47	Lun. Mer. Ven. 1 à 2.		1896	101
Vimont (E.-G.)	1882	Ex-Int. des Hôp.	b. St-Germain 47	Lun. Mer. Ven. 1 à 2.		1896	101
Vimont (M.)	1890	Anc. Int. des Hôp.	Etienne-Marcel 8	1 à 3 Exc. Mar.		1896	101
Vinache	1880		Assas 78	2 à 4.		1896	101
Vinant (Em.)	1889	O ✶	av. de Villiers 107	1 à 3.		1896	101
Vincent	1882		Mouton-Duvernet 22	Lun. Mer. Ven. 1 à 3.		1896	101
Violet	1876	O ✶	Condorcet 74	1 à 3.		1896	101
Virchaux (Alb.)			Etienne-Marcel 30	1 à 3. Mer. Ven. 8 à 9.		1896	101
Virey	1893		Archives 21	M. J. S. 1 à 3.		1896	101
Viron	1884		Bd l'Hôpital 47			1896	101
Visinier	1840		Moncey 16	n'ex. pas.		1896	101
Vivien (Eug.)	1883		Bayen 18	2 à 4.		1896	101
Vlantassopoulo	1894		Ecoles 33			1896	101
Voelker	1868		Richelieu 99	Mar. Jeu. Sam. à 2. Clin. Bac 87.		1896	101
Vogt	1881	Electrothr	Taitbout 80	2 à 4. Exc. Mer. Dim. (Téléphone). Clin., St-Lazare 28, 4 à 6.		1896	101
Voisin (Aug.)	1858	✶ M. H. Memb. du Cons. d'hyg., de la Préf.	Séguier 16	Lun. Mer. Ven. 1 à 3.		1896	101
Voisin (J.)	1876	M. H., Méd. en chef du Dépôt	Faub.-Poissonnière 58	Lun. Mer. Ven. 1 à 3.		1896	101
Vollant	1835	✶ O I	av. d'Italie 74	n'ex. plus.		1896	101
Vollier	1887		Bd Voltaire 131	2 à 4.		1896	101
Voronoff	1893	Directeur de l'établis. médico-chirurgical d'Auteuil	boul. Montmorency 61	Mar. J. Sam. à 4.		1896	101
Voury	1874	L'été à Vichy	Prony 77			1896	101
